Metadata_Well,TG,AngularSecondMoment_Actin_2,AngularSecondMoment_Actin_6,AngularSecondMoment_Actin_10,Intensity_IntegratedIntensityEdge_Actin,Intensity_IntegratedIntensityEdge_Actin_new_intensity,Intensity_IntegratedIntensityEdge_Collagen,Intensity_IntegratedIntensityEdge_aSMA,Intensity_IntegratedIntensity_Actin,Intensity_IntegratedIntensity_Actin_new_intensity,Intensity_IntegratedIntensity_Collagen,Intensity_IntegratedIntensity_aSMA,Intensity_LowerQuartileIntensity_Actin,Intensity_LowerQuartileIntensity_Actin_new_intensity,Intensity_LowerQuartileIntensity_Collagen,Intensity_LowerQuartileIntensity_aSMA,Intensity_MADIntensity_Actin,Intensity_MADIntensity_Actin_new_intensity,Intensity_MADIntensity_Collagen,Intensity_MADIntensity_aSMA,Intensity_MassDisplacement_Actin,Intensity_MassDisplacement_Actin_new_intensity,Intensity_MassDisplacement_Collagen,Intensity_MassDisplacement_aSMA,Intensity_MaxIntensityEdge_Actin,Intensity_MaxIntensityEdge_Actin_new_intensity,Intensity_MaxIntensityEdge_Collagen,Intensity_MaxIntensityEdge_aSMA,Intensity_MaxIntensity_Actin,Intensity_MaxIntensity_Actin_new_intensity,Intensity_MaxIntensity_Collagen,Intensity_MaxIntensity_aSMA,Intensity_MeanIntensityEdge_Actin,Intensity_MeanIntensityEdge_Actin_new_intensity,Intensity_MeanIntensityEdge_Collagen,Intensity_MeanIntensityEdge_aSMA,Intensity_MeanIntensity_Actin,Intensity_MeanIntensity_Actin_new_intensity,Intensity_MeanIntensity_Collagen,Intensity_MeanIntensity_aSMA,Intensity_MedianIntensity_Actin,Intensity_MedianIntensity_Actin_new_intensity,Intensity_MedianIntensity_Collagen,Intensity_MedianIntensity_aSMA,Intensity_MinIntensityEdge_Actin,Intensity_MinIntensityEdge_Actin_new_intensity,Intensity_MinIntensityEdge_Collagen,Intensity_MinIntensityEdge_aSMA,Intensity_MinIntensity_Actin,Intensity_MinIntensity_Actin_new_intensity,Intensity_MinIntensity_Collagen,Intensity_MinIntensity_aSMA,Intensity_StdIntensityEdge_Actin,Intensity_StdIntensityEdge_Actin_new_intensity,Intensity_StdIntensityEdge_Collagen,Intensity_StdIntensityEdge_aSMA,Intensity_StdIntensity_Actin,Intensity_StdIntensity_Actin_new_intensity,Intensity_StdIntensity_Collagen,Intensity_StdIntensity_aSMA,Intensity_UpperQuartileIntensity_Actin,Intensity_UpperQuartileIntensity_Actin_new_intensity,Intensity_UpperQuartileIntensity_Collagen,Intensity_UpperQuartileIntensity_aSMA
C02,SB,0.01611338352298625,0.029677430150010953,0.0504949459562382,3.2834745147265494,8.208686219528317,17.869794772937894,12.923254781402647,16.115060817915946,40.28765165992081,121.64031459204853,71.71818124316633,0.0107576102018356,0.026894025504589,0.054159991443157154,0.0403887233696877,0.0005645835772156,0.001411460340023,0.0143854422494769,0.0074921809136867,0.2998486144676724,0.2998486193040796,1.902085008514152,0.9070344462047458,0.01389333978295325,0.03473334759473795,0.154268704354763,0.09401083365082741,0.0152285038493573,0.0380712579935789,0.29104295372962946,0.12618448585271835,0.01120036344085675,0.0280009083681566,0.0626870364030363,0.044090541261377306,0.0112939935566886,0.02823498363651105,0.08003014376394524,0.0494542260317162,0.01120775192975995,0.0280193798243999,0.06981384009122846,0.04856946691870685,0.0087434193119406,0.0218585487455129,0.04291599988937375,0.0268863961100578,0.0083924625068902,0.0209811553359031,0.0425726696848869,0.0267490651458501,0.0007378066920319,0.00184451669282655,0.017657681427599298,0.0117994519436979,0.0009353490555127,0.0023383725947398997,0.03259627980041145,0.01232177424776345,0.01178759429603815,0.029468985274434048,0.0951781496405601,0.0562867177650332
C03,SB,0.0175582226007308,0.0301442178658231,0.0397413681697411,3.7154650455340734,9.288662519305944,18.625391084700823,13.290882781147957,23.36485871393233,58.41214629262686,158.9963378868997,97.67162615805864,0.0106050204485654,0.0265125501900911,0.0503700301051139,0.0356450751423835,0.0006256196647882,0.001564048230648,0.0122529957443475,0.0081330575048923,0.3598892944829011,0.3598892693932603,1.886094784114296,1.0062023978602612,0.013962005265057,0.0349050126969814,0.1481498479843139,0.0954146608710289,0.0155031662434339,0.0387579165399074,0.3120012283325195,0.1438925713300705,0.0110198459304208,0.0275496146112804,0.0565822408008525,0.0396157136873195,0.011240027682993,0.0281000689585685,0.0735058187583218,0.0456182718370109,0.0111543452367186,0.0278858635574579,0.0618905927985906,0.0442053861916065,0.0087586790323257,0.0218966975808143,0.0420996397733688,0.026276035234332,0.0082398718222975,0.0205996800214052,0.041718166321516,0.0260013733059167,0.0007766751843295,0.0019416879096764,0.0156517903275396,0.0114389240349583,0.0010022738157389,0.0025056844182924,0.0323893222694715,0.0129853858872293,0.0117952236905694,0.0294880587607622,0.0855954810976982,0.0528534380719065
C04,SB,0.021029539935298998,0.030596723500944847,0.0506110035393312,3.204875286668539,8.012188117019832,17.20917832106352,11.023109808564186,18.818700110074133,47.04674979764968,125.19164585322142,67.83022060152143,0.011123826727271,0.0278095658868551,0.0551766231656074,0.03648241423070425,0.0006561381742358,0.0016403449699282,0.01501869224011895,0.0061493888497352,0.30757974013879075,0.30757972065988426,1.5598347880580121,0.8352952894451781,0.0151064321398735,0.0377660803496837,0.14649423956871024,0.0967269390821456,0.0169985499233007,0.0424963757395744,0.2917219698429107,0.1428091898560524,0.0115859380355214,0.02896484485736205,0.0625338754623801,0.039821514095032054,0.0117780347302897,0.0294450865307084,0.07962184691544494,0.04451577028642095,0.0116731515154242,0.0291828792542219,0.06989394873380655,0.0431830324232578,0.00901045277714725,0.022526131942868198,0.04363317415118215,0.02681773155927655,0.008651865646243,0.0216296631842851,0.0431982912123203,0.026565957814455,0.00090130250271665,0.0022532561775460997,0.01738332924774065,0.010673967674196101,0.00108383557609835,0.00270958879290075,0.0305859204098008,0.011183534820340249,0.01238269638270135,0.030956741422414752,0.0934042884036898,0.050074387341737706
C05,control,0.01372552551563965,0.0286401866225556,0.0550989909056376,2.4503929470665753,6.12598230689764,15.568047607317567,9.935675638727844,11.265804646536708,28.164511353708804,121.51166571862996,56.37277031317353,0.009864957537501998,0.02466239314526315,0.055928129702806445,0.04003204405307765,0.0004882887005805,0.0012207217514514,0.026459146291017498,0.00828183442354195,0.22157662799639605,0.22157663052031729,1.520312225717672,0.7704538445891109,0.0126039525493979,0.031509879976511,0.18440527468919748,0.0894178673624992,0.01344319852069015,0.0336079951375722,0.377569243311882,0.1286793351173401,0.010537217012022902,0.026343042264999,0.0688266669297358,0.0426342656285446,0.01046080800511175,0.02615201976915605,0.11195598242956589,0.05053410464812335,0.01047531887888905,0.02618829719722265,0.0899023432284593,0.049160752445459296,0.00801861612126225,0.0200465405359864,0.0424658581614494,0.0263675898313522,0.00779736018739635,0.019493400119245,0.04219882562756535,0.02623788826167575,0.0007193281091054499,0.0017983202620674502,0.02596167212093805,0.01155336890014095,0.00080210480301205,0.0020052620037794002,0.060467332844371,0.0131556896057997,0.0109254596754908,0.0273136496543884,0.143938347697258,0.0573281459510326
C06,control,0.017219156131723,0.0267477896308804,0.0425697929482882,2.9632257893681526,7.40806439705193,16.717448700219393,10.393057141453028,17.35848038084805,43.39620056375861,148.83840708434582,72.0477304160595,0.0102082854136824,0.0255207139998674,0.0504310689866542,0.0366063937544822,0.0005340659990906,0.0013351645320653,0.0157320536673069,0.007705807685852,0.2352189650268533,0.2352189777803665,2.364093255688205,0.8945395277021354,0.0131685361266136,0.032921340316534,0.1707637161016464,0.0843213573098182,0.0146486610174179,0.0366216525435447,0.364766925573349,0.1233386769890785,0.0106048669769012,0.0265121671591122,0.0596822030660582,0.038279828599521,0.0107821097972298,0.0269552742313734,0.093891998694204,0.0458376478482571,0.0106813153252005,0.0267032887786626,0.0641489252448082,0.0439230948686599,0.0087434193119406,0.0218585487455129,0.0423132665455341,0.0261081866919994,0.0081635769456624,0.0204089414328336,0.0420233458280563,0.0260013733059167,0.0006699987427774,0.0016749968514993,0.0212146554556057,0.009781477323124,0.0008544413772926,0.0021361034696933,0.0589463733563718,0.012186724203492,0.0112764174118638,0.0281910430639982,0.1174639537930488,0.0527809560298919
C07,control,0.0128381377513844,0.022145490324419,0.0380470881835983,2.8443427477031946,7.110856801271439,16.632440738379955,10.404303055256603,16.555611674673855,41.38902882300317,149.50453966483474,76.23205937817693,0.0102540627121925,0.0256351567804813,0.0522926673293113,0.0381475538015365,0.000503547489643,0.0012588687241077,0.0186465308070182,0.007827877998352,0.2334115352639562,0.2334115296654747,2.346556326128226,0.9571839391123932,0.0129091329872608,0.0322728306055069,0.181887537240982,0.0860761404037475,0.0144197754561901,0.0360494367778301,0.3685664236545563,0.1242084354162216,0.0106524475278697,0.0266311185667574,0.0629184374575892,0.0401880673365667,0.0107645988901197,0.026911496978969,0.098610722775623,0.047500490561305,0.0106813153252005,0.0267032887786626,0.0671778470277786,0.0460822470486164,0.008682383224368,0.0217059571295976,0.0438391715288162,0.0264896620064973,0.008224613033235,0.0205615330487489,0.0434576943516731,0.0264133661985397,0.0006389480414675,0.0015973700978269,0.0230554839857313,0.0103069886145756,0.0008118799730457,0.0020296999311528,0.058126227408001,0.0127204041154151,0.0112153813242912,0.028038453310728,0.1274586170911789,0.0545586319640278
C08,Fak_TGFB,0.017714774734508297,0.0231177659089999,0.02504795536524855,1.6899290718138218,4.224822630174458,11.190852222964168,8.766498827375472,8.662440024549142,21.65609981585294,89.37691328302026,98.0312963090837,0.008453498594462799,0.02113374602049585,0.04583047330379485,0.028940642718225648,0.000370031222701,0.0009250789880752,0.006370641291141449,0.00502021797001355,0.20261117068093504,0.2026111792288986,1.2699336709183102,1.895866327171262,0.01065842714160675,0.02664606831967825,0.14693675190210334,0.1642786338925361,0.01316090626642105,0.0329022649675607,0.4324559420347214,0.5719920694828033,0.008912962586822299,0.02228240617914215,0.0512400982436718,0.032560816991826544,0.0090016504192719,0.0225041257940793,0.06861260873789504,0.05076017652350025,0.0089265275746583,0.0223163180053234,0.05086213350296015,0.0325780119746923,0.00725566502660505,0.018139163032174048,0.04007782042026515,0.0249866480007767,0.00679026474244885,0.01697566173970695,0.0396276786923408,0.02455176692456,0.00045762979351555,0.0011440744953354499,0.013676571375522,0.01432362975951175,0.0006704970622871,0.0016762426480384,0.033966420361772554,0.048843862991658105,0.00937666930258265,0.02344167232513425,0.07166971918195485,0.04789806902408595
C09,Fasudil_TGFB,0.0130531163648198,0.02133236663166215,0.0393070061187877,1.1503929358441383,2.8759823124855757,13.42903027497232,6.205363574437797,7.210147327277809,18.025368069298565,120.74913421832025,41.89644472301006,0.0101625090464949,0.0254062730818986,0.11367589794099325,0.05042725242674345,0.00049591809511175,0.00123979523777955,0.03935683146119115,0.0064011607319116,0.13619546267990834,0.13619546654159637,1.009206587957988,0.49743805270019464,0.0130464639514684,0.03261616080999365,0.20084687322378156,0.08463416621088976,0.0142366676591336,0.03559166751801965,0.47886626422405243,0.1138170436024665,0.01068291303059905,0.02670728235561385,0.11658514595364565,0.0525226215485289,0.01074924299186795,0.02687310723517495,0.16366994600779883,0.0590843225001774,0.01065842714160675,0.02664606831967825,0.1493362337350845,0.05755321681499475,0.00873578991740935,0.0218394752591848,0.0551918819546699,0.0348516069352626,0.00846112798899405,0.02115282043814655,0.05286488309502595,0.0341954678297042,0.0007865547768866,0.00196638691645725,0.02495752970210835,0.0096210159282222,0.0008009593474091,0.00200239834128525,0.07077796185792795,0.010486719997832999,0.0112458989024162,0.0281147472560405,0.20071907900273794,0.0659933630377054
C10,Fasudil_TGFB,0.0209139748012605,0.023374318987914047,0.034139865718788104,3.1512779821641743,7.878194872289896,17.721622087061405,11.257206090725958,22.7922715251334,56.980678191408515,192.52977068722242,92.38452754169703,0.0107881287112832,0.0269703213125467,0.0520027466118335,0.0391355752944946,0.0006256196647882,0.001564048230648,0.01769665069878095,0.0070954449474811,0.33170658830567357,0.3317065673117323,2.3628622347826456,0.9380198564971491,0.0153658352792263,0.0384145863354206,0.1765163615345955,0.07909514009952545,0.01766231749206775,0.0441557932645082,0.4556878060102463,0.13071641325950614,0.011456543956442,0.02864135960201385,0.06289381327238555,0.0410469589085889,0.0114634751700167,0.028658687652280898,0.10202936708118321,0.0474511471272169,0.0112764174118638,0.0281910430639982,0.06558327563107005,0.045971617102622944,0.009231708478182499,0.023079271428287,0.0442359037697315,0.0271457992494106,0.0085603110492229,0.0214007776230573,0.04380102083086965,0.0270237270742654,0.00088791415818105,0.00221978543346585,0.025681485047949502,0.0095670372575578,0.0011439763428658,0.0028599407429831,0.06455456642109156,0.01214408358812585,0.01198596181347965,0.0299649043008685,0.13082513399422163,0.0539520867168903
C11,Fasudil_TGFB,0.0231968101355636,0.0298397705255244,0.0404067242780719,3.2216678373515606,8.054169476032257,18.981185633689165,11.721217680722477,17.305012740194798,43.26253139972687,162.82662727683785,75.06132611632347,0.0105745019391179,0.0264362543821334,0.0527046620845794,0.0390478372573852,0.0006866557523608,0.0017166379839181,0.0218509212136268,0.0067063421010971,0.4855659931865224,0.4855659764958323,2.746269237937467,0.9615669103050896,0.0159151591360569,0.0397878959774971,0.1807888895273208,0.0846570506691932,0.018005646765232,0.0450141169130802,0.4207980334758758,0.1278400868177414,0.0114240214595912,0.0285600534207384,0.0661654325625741,0.0421463489964059,0.011419346336536,0.028548365550255,0.1031775555015402,0.047560364447343,0.0112153813242912,0.028038453310728,0.0728007927536964,0.0457007698714733,0.0087891966104507,0.0219729915261268,0.0439307242631912,0.0275272764265537,0.0083924625068902,0.0209811553359031,0.0437476150691509,0.0273899435997009,0.0009864880812293,0.0024662200771471,0.0267625256838707,0.0097377138575942,0.0013080818489673,0.0032702044976109,0.0615389721826926,0.0116228845531099,0.0119630731642246,0.0299076829105615,0.1358205527067184,0.0534752421081066
