,DG1,0,1,2,3,4,5
0,Anakinra_1_IL1,-0.8197244622121088,-0.9326193344664958,0.1670813821943429,-0.9887834831179403,0.05997523591493171,1.4996898130477438
1,Anakinra_1_TGFB,2.813594336882321,-0.9155878813659514,0.7345941134568753,-0.7737866163045316,0.6534069429190718,-0.11702596720932343
2,Anakinra_2_IL1,-1.016486224544072,-0.6480710462366986,0.43640281113963336,-1.8765717823214394,0.44062685805799234,1.0847149523986668
3,Anakinra_2_TGFB,3.200206761845231,-0.46798076287278245,0.7007291530716869,-0.5050255220095288,1.0293331449300642,0.2893506568262435
4,Anakinra_2_TGFB_IL1,2.340530525014856,-0.08336504936599172,-0.18494086082693792,-3.1687147953264994,0.6581097649970222,-0.560704235168471
5,Anakinra_2_control,-1.739379272942383,-0.8927484552415661,-1.281745188481086,-2.6032747628273643,-0.20854936593976148,-0.10015298850635612
6,Anakinra_3_IL1,-1.0582764263598026,-0.34750198562326673,-0.51171261197307,-2.5850350366419534,0.12608312260613672,0.7187470052474574
7,Anakinra_3_TGFB,3.059813314085876,0.729959785054223,-0.8252217575560676,-3.8111029563195653,0.9135899215315832,0.040972638996694566
8,BNP_1_IL1,-1.8017403042375668,-0.10250157783482844,1.0870909882626683,-0.6398924832085773,-1.843583075748087,0.09830880227459574
9,BNP_1_TGFB,2.69092293162931,0.15857680409097338,0.3254131398227295,-1.7079437366962336,0.3876159334633679,0.21526015550845667
10,BNP_2_IL1,-1.1972277335594632,-0.7828769191213026,1.7031460329031838,0.4569106136692007,-0.26689615116962057,1.3496168729117397
11,BNP_2_TGFB,2.618517531133201,-1.0268165522425623,0.8611781898627124,1.055859300069217,0.4999868784726518,-0.007911837758712199
12,BNP_2_TGFB_IL1,-0.5762127399961845,0.3280212852600597,-1.228870267877497,-2.745553321077025,-2.8487671942241164,-0.8982964401778113
13,BNP_2_control,-0.5246269116392104,-1.3628545152131604,0.6525689307838326,0.9862995769283759,1.2204702473943445,1.9260233587577593
14,BNP_3_IL1,-1.426638858573292,-1.8831539068712013,1.66539538771399,0.8592219324930962,-0.21463341433938543,0.4310544214227146
15,BNP_3_TGFB,2.14188154681072,-1.1535214150024058,-0.7387065627174445,-1.7525192272609984,0.013285835186860412,-0.6490802576183232
16,CWHM12_1_IL1,-0.866966443329836,-0.2914465112715544,1.1482263888071274,-0.031297640534842144,-0.6984533275902002,-0.1849985963509
17,CWHM12_1_TGFB,4.0966560680370865,-0.8953584702176722,2.104856513443903,1.8503951939879906,0.2340865262595085,-1.418665769001868
18,CWHM12_2_IL1,-1.0463856952347985,-0.9649250705859783,0.6472362522510083,-0.5970195422444999,-0.4130003130571183,0.14451912409367082
19,CWHM12_2_TGFB,4.254714558016106,0.0473584530852603,1.7642155798210317,0.670777534998306,0.0978371188712937,-1.1404927376003804
20,CWHM12_2_TGFB_IL1,1.4394438410942876,-2.117034505967971,1.641720310895741,0.831721879633907,-0.9974761697898893,-0.3653048340958379
21,CWHM12_2_control,-0.9300962567021521,-1.4046940893497513,0.21268111457624467,-0.12813681099928786,0.6210109447077907,0.9630507204671652
22,CWHM12_3_IL1,-0.7725719839799198,-1.88877420586351,1.1408400959086642,0.49336822003668085,0.18724143218090192,0.24774343404524443
23,CWHM12_3_TGFB,4.490471578064075,0.6330517209963431,2.0412766757642653,0.29607274047761456,0.21992408744982384,-1.1285956579726244
24,Fasudil_1_IL1,-3.677381399540519,-0.5651454531443942,1.084887709294643,0.33045527558032983,-2.192745258816071,-0.005308666772241012
25,Fasudil_1_TGFB,2.3828869916900786,-0.699343898043409,-1.3416919727615402,-0.15552032901159868,0.7029781148623234,0.8373289029083724
26,Fasudil_2_IL1,-3.671473736178786,-0.027276659326478554,1.3640740966182434,0.11352171188394992,-2.6679749043940597,0.403527256330185
27,Fasudil_2_TGFB,1.7997973179601345,-2.035494529648564,-1.5472915749886478,-0.5697422099394638,1.25109597828497,0.6229229409225736
28,Fasudil_2_TGFB_IL1,-3.4485925463270752,-0.627593585932127,1.401805911692801,0.6179646797589059,-2.7980130150863576,0.4229053788346246
29,Fasudil_2_control,-1.6335213564368083,0.22223869862904888,-1.6057043432448364,-1.2111036811419016,0.46944846190065836,0.9120708366870134
30,Fasudil_3_IL1,-3.939289177394976,-0.10763480444432115,1.5210859336218296,1.0546188429979326,-1.8774142939395198,0.808198496462142
31,Fasudil_3_TGFB,1.2528869917207146,-1.8550895132779912,-2.5590583508297793,-0.9931167997004186,1.1914637232207634,0.8774817693462295
32,Glutathione_1_IL1,-0.7725129973275913,0.38654982170774144,1.0072889497902993,-1.7209671276227672,-1.2847533088365788,0.21474997069359467
33,Glutathione_1_TGFB,6.418508283619259,1.4146486247191203,4.256109763880757,0.5328027811075613,0.9334708367686484,-1.523872783533248
34,Glutathione_2_IL1,-0.28039793872847685,-0.8523242509970949,1.0968231365003396,-1.0324572906432072,0.3219009073591357,-0.46065099135082904
35,Glutathione_2_TGFB,5.26989119395522,0.5956045043379848,3.0189430384664173,0.42995416926994523,0.8000163646680718,-0.6599889653313897
36,Glutathione_2_TGFB_IL1,1.3347198135346263,-2.177148828925951,1.989397096498238,0.6702097544608026,0.16503128096927025,-0.7690035020974163
37,Glutathione_2_control,-0.34265233841017373,-0.17095043235720225,1.153683390944149,0.5248700907997909,0.25702839897456015,1.5495658367245009
38,Glutathione_3_IL1,-0.21551627481484123,-1.3463437623406904,1.5925908395478767,-0.008688361757485894,0.4425180316005819,-0.2564686038437795
